ChEMBL_ID,pKi,MolWt,LogP,TPSA,HBD,HBA,RotatableBonds,AromaticRings,HeavyAtoms,NumRings,NumSaturatedRings,NumAliphaticRings,MolMR,NumCarbons,NumNitrogens,NumOxygens,NumFluorines,NumHalogens
CHEMBL365623,9.28,324.21799999999996,2.8462000000000005,38.33,1,3,2,1,19,3,2,2,76.95170000000005,15,1,2,0,4
CHEMBL365649,8.72,384.289,3.9182000000000032,29.540000000000003,0,3,5,1,23,3,2,2,91.11400000000005,18,1,2,1,5
CHEMBL369098,8.36,375.92100000000016,4.807800000000005,29.54,0,4,3,2,25,4,2,2,102.20200000000006,20,1,2,0,5
CHEMBL370805,3.41,303.35800000000006,1.8677,55.84,0,5,3,1,22,3,2,2,80.34150000000005,17,1,4,0,5
CHEMBL372121,6.46,337.4230000000001,2.882900000000001,55.32,0,5,3,2,25,4,2,2,94.90500000000006,20,3,2,0,5
CHEMBL377129,5.82,373.49600000000004,4.126700000000003,41.49,2,3,6,3,28,4,1,1,112.16050000000003,25,1,2,0,3
CHEMBL378437,6.33,396.53400000000005,5.637200000000004,37.05,2,2,6,4,30,5,1,1,122.62740000000004,27,2,1,0,3
CHEMBL381249,6.26,378.51600000000013,4.158900000000004,32.78,0,4,4,2,28,4,2,2,113.64200000000007,24,2,2,0,4
CHEMBL381418,7.16,328.437,3.207200000000001,51.22,1,5,3,2,23,4,2,2,90.35970000000005,18,2,2,0,5
CHEMBL382943,6.28,342.46400000000017,3.549400000000002,42.43,0,5,3,2,24,4,2,2,94.98700000000005,19,2,2,0,5
CHEMBL383572,6.92,337.4230000000001,2.882900000000001,55.32,0,5,3,2,25,4,2,2,94.90500000000006,20,3,2,0,5
CHEMBL384104,7.96,441.5180000000001,5.041400000000005,38.77,0,4,8,2,32,4,2,2,117.96900000000005,26,1,3,2,6
CHEMBL384482,8.43,429.5070000000002,4.875300000000005,38.77,0,4,7,2,31,4,2,2,113.44600000000005,25,1,3,2,6
CHEMBL385942,6.87,476.3580000000002,4.279700000000003,55.56,1,4,3,2,27,4,2,2,116.44440000000002,22,2,2,0,5
CHEMBL394320,5.36,260.31199999999995,3.261800000000001,38.49,1,3,4,2,19,2,0,0,74.71940000000002,15,2,1,1,4
CHEMBL394965,5.5,439.2930000000001,3.7984000000000027,39.72,1,4,6,2,24,3,1,1,102.74870000000003,19,1,3,0,5
CHEMBL396328,6.39,395.2400000000002,3.399700000000002,30.49,1,3,4,2,21,3,1,1,91.57970000000005,17,1,2,0,4
CHEMBL400707,7.4,374.47500000000014,4.098400000000003,15.71,0,3,8,2,27,3,1,1,103.76600000000005,22,2,1,2,5
CHEMBL403575,7.7,446.5410000000001,4.740100000000004,15.71,0,3,7,3,33,4,1,1,126.79500000000004,28,2,1,2,5
CHEMBL408192,7.65,412.57700000000006,5.175900000000006,15.71,0,3,6,3,31,5,2,2,126.51400000000004,28,2,1,0,3
CHEMBL409161,8.96,500.42700000000013,7.135600000000007,12.47,0,2,8,3,32,4,1,1,127.35500000000003,27,1,1,2,5
CHEMBL412263,5.98,412.5770000000001,4.700700000000004,26.71,1,3,6,3,31,5,2,2,126.08480000000003,28,2,1,0,3
CHEMBL413927,8.33,427.49100000000016,4.6513000000000035,38.77,0,4,6,2,31,4,2,2,113.35200000000005,25,1,3,2,6
CHEMBL416409,9.15,471.5910000000002,7.526300000000007,12.47,0,2,8,4,35,5,1,1,137.16099999999992,31,1,1,2,4
CHEMBL419744,5.94,297.3980000000001,3.3663000000000025,29.54,0,3,3,2,22,3,1,1,88.99000000000005,19,1,2,0,3
CHEMBL420291,8.73,243.39399999999995,4.0530000000000035,3.24,0,1,3,1,18,3,2,2,76.77100000000006,17,1,0,0,1
CHEMBL421679,5.04,319.40800000000013,3.7698000000000027,38.25,0,4,3,3,24,4,1,1,96.12100000000007,20,3,1,0,4
CHEMBL428704,7.31,429.5070000000002,4.873700000000005,38.77,0,4,6,2,31,4,2,2,113.42400000000005,25,1,3,2,6
CHEMBL429015,7.88,414.54000000000013,5.0495000000000045,38.489999999999995,1,3,7,2,30,4,2,2,115.07940000000006,25,2,1,2,5
CHEMBL429065,6.12,385.27000000000004,3.654100000000003,32.26,2,3,5,2,19,2,0,0,88.41050000000003,15,1,1,0,4
CHEMBL429658,5.73,463.23700000000014,4.418500000000003,30.49,1,3,4,2,25,3,1,1,96.58170000000003,18,1,2,3,7
CHEMBL432401,8.92,291.866,5.096500000000006,3.24,0,1,4,1,20,3,2,2,86.39800000000007,18,1,0,0,2
CHEMBL433138,6.22,449.5850000000001,6.805700000000007,12.47,0,2,10,3,33,4,1,1,129.13900000000004,29,1,1,2,4
CHEMBL433159,8.48,384.28900000000016,3.9182000000000032,29.54,0,3,5,1,23,3,2,2,91.11400000000006,18,1,2,1,5
CHEMBL433560,6.74,420.3720000000002,4.9169000000000045,29.54,0,4,3,2,25,4,2,2,104.89200000000004,20,1,2,0,5
CHEMBL434093,7.25,473.5670000000002,5.436800000000005,28.6,0,4,8,4,35,5,1,1,134.05499999999998,29,3,1,2,6
CHEMBL435287,7.92,341.47600000000017,4.154400000000003,29.54,0,4,3,2,24,4,2,2,97.19200000000006,20,1,2,0,4
